record - leader,001,008,035,040,System Control Number,245,Title Information,260,Publication Information,310,Current Publication Frequency,336,337,338,653,650,710,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
00553nas  2200169u  4500,9916772010101480,951030q19771985be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001677201LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916772010101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$4$aThe month at UNESCO$ $ $61280130,The month at UNESCO$ $ $61280130,,,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $1$aParis$ $ $bInternational catholic center for UNESCO$ $ $c[date of publication not identified],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00500nas  2200169u  4500,9916807480101480,951030q19771985be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001680748LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916807480101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aPuebla nieuws.,Puebla nieuws.,^$ $ $aAntwerpen$ $ $bLatijns-Amerika centrum Sago$ $ $c1979,Antwerpen,^$ $ $aBiweekly,Biweekly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Latijns-Amerika centrum Sago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00553nas  2200193u  4500,9916810740101480,951214q19771980be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001681074LBS01-Aleph^$ $ $a6247098^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916810740101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKoor-info.,Koor-info.,^$ $ $aHerne$ $ $bFedekam-Brabant$ $ $cs.d,Herne,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aFedekam-Brabant$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Fedekam-Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,s.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00684nas  2200217u  4500,9916927970101480,960130q19771987be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001692797LBS01-Aleph^$ $ $a6309130^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916927970101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aAttitudes catechumenales.,Attitudes catechumenales.,^$ $ $aBruxelles$ $ $bCatechumenat des adultes$ $ $c[1977]-1990,Bruxelles,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aCatechumenat des adultes$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Catechumenat des adultes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00551nas  2200181u  4500,9916967190101480,960130q19771987be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001696719LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916967190101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aSimiles kring Kortrijk.,Similes kring Kortrijk.,^$ $ $aKortrijk$ $ $bSimiles kring Kortrijk$ $ $c[1979]-[1988],Kortrijk,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,^$ $ $aPeriodiciteit varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Similes kring Kortrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1979]-[1988],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00754nas  2200205u  4500,9917080450101480,960130q19771987be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001708045LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917080450101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$3$a't KVG-tje$ $ $btijdschrift van het verbond Kortrijk van de Katholieke vereniging voor gehandicapten.,'t KVG-tje,,,^$ $ $aOther,Other,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835,,^$ $1$c1978-[2004]^$ $1$aKortrijk$ $ $bKVG. Verbond Kortrijk$ $ $31978-[2004].,^$ $ $aKADOC$ $ $bphysical$ $ $c202003$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,tijdschrift van het verbond Kortrijk van de Katholieke vereniging voor gehandicapten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00676nas  2200217u  4500,9917082960101480,960314q19791984be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001708296LBS01-Aleph^$ $ $a6388190^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917082960101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aInfo-Brabant.,Info-Brabant.,^$ $ $aBrussel$ $ $bCCMB$ $ $c1979-[1984],Brussel,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aCCMB. Brabant$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CCMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00537nas  2200181u  4500,9917091920101480,960318q19799999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001709192LBS01-Aleph^$ $ $a6392918^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917091920101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aVrienden Abcailo.,Vrienden Abcailo.,^$ $ $aTurnhout$ $ $bVrienden Abcailo$ $ $c1979-[1988],Turnhout,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Vrienden Abcailo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1988],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00561nas  2200193u  4500,9917171530101480,960411d19789999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001717153LBS01-Aleph^$ $ $a6434902^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917171530101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aInfo-zeg.,Info-zeg.,^$ $ $aBrussel$ $ $bCVP$ $ $c[1978]-?,Brussel,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aCVP$ $ $gChristelijke volkspartij$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1978]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00694nas  2200217u  4500,9917290870101480,960521q19772006be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001729087LBS01-Aleph^$ $ $a6497239^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917290870101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aSolidariteit : DISOP-infoblad.,Solidariteit : DISOP-infoblad.,^$ $ $aBrussel$ $ $bDISOP$ $ $c1977-[2006],Brussel,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aDISOP Brussel$ $ $4oth,,^$ $ $aKADOC$ $ $bphysical$ $ $c201507$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,DISOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[2006],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00514nas  2200181u  4500,9917316950101480,960529q19771986be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001731695LBS01-Aleph^$ $ $a6509578^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917316950101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aAksie.,Aksie.,^$ $ $aGeel$ $ $bOosteldorp$ $ $c1977-[1986],Geel,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Oosteldorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[1986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01041nas  2200277u  4500,9917320700101480,960529q19771986be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001732070LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917320700101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aPlatteland. Nieuwsbrief.,Platteland. Nieuwsbrief.,^$ $ $c1979-^$ $ $aGent$ $ $bPlattelandsontwikkeling.,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KUL$ $ $a#TS:WBIB^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alandbouw$ $ $6(ODIS-TW)1131^$ $7$2VLP$ $ $a586 Plattelandsontwikkeling^$ $7$2VLP$ $ $a586 Plattelandsontwikkeling^$ $7$2VLP$ $ $a475 Landbouw,,,,,,,^$1$0$aPlatteland$ $ $btrimestrieel tijdschrift van plattelandsontwikkeling$ $ $g18(1996)-[24(2002)]$ $ $61294511^$1$0$aDorpsinfo$ $ $g1(1979)-17(1995)$ $ $613075292,,,,,,,,,,,,,,,,,,,,,^$ $ $aPeriodicals$ $ $xTijdschriften - Periodieken$ $ $yPériodiques$ $ $z(Magazines),,,,,,
,,,,,,,,,1979-Gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Plattelandsontwikkeling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00556nas  2200193u  4500,9917327090101480,960531q19781979be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001732709LBS01-Aleph^$ $ $a6514652^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917327090101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aVDS-info.,VDS-info.,^$ $ $aGent$ $ $bVDS-Gent$ $ $cfebruari 1978-[1979],Gent,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aVDS-Gent$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,VDS-Gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,februari 1978-[1979],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00919nas  2200217u  4500,9917331690101480,960604q19771989be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001733169LBS01-Aleph^$ $ $a6517208^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917331690101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aACW : maandelijkse nieuwsbrief van het Algemeen christelijk werknemersverbond Land van Waas.,ACW : maandelijkse nieuwsbrief van het Algemeen christelijk werknemersverbond Land van Waas.,^$ $ $aSint-Niklaas$ $ $bACW. Land van Waas$ $ $c1977-[1989],Sint-Niklaas,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aACW. Land van Waas$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,^$ $ $aVoortzetting van: ACW: maandelijkse nieuwsbrief van het Algemeen christelijk werkersverbond Land van Waas,^$1$8$w(BeLVLBS)001733156LBS01-Aleph$ $ $tACW : maandelijkse nieuwsbrief van het Algemeen christelijk werkersverbond Land van Waas$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,ACW. Land van Waas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[1989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00504nas  2200169u  4500,9917383290101480,960604q19771989be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001738329LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917383290101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aInformatie,Informatie,^$ $ $aRoeselare$ $ $bKWB. Verbond Roeselare-Tielt$ $ $c[1979]-[1986],Roeselare,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,KWB. Verbond Roeselare-Tielt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1979]-[1986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00734nas  2200229u  4500,9917422310101480,960626q19771999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001742231LBS01-Aleph^$ $ $a6558298^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917422310101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aMini-giet ut.,Mini-giet ut.,^$ $ $aBrugge$ $ $bKontaktgroep basisgroepen$ $ $c1977-[1999],Brugge,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $abasisgemeenschappen$ $ $6(ODIS-TW)215,^$2$ $aKontaktgroep basisgroepen$ $ $cBrugge$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Kontaktgroep basisgroepen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[1999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00512nas  2200169u  4500,9917441550101480,960626q19771999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001744155LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917441550101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$2$aL'arche d'alliance.,L'arche d'alliance.,^$ $ $aBruxelles$ $ $bAlliance biblique internationale$ $ $c[1979]-?,Bruxelles,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Alliance biblique internationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1979]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00552nas  2200169u  4500,9917630660101480,960626q19771999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001763066LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917630660101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$3$a't Allemanneke$ $ $bLeidingsblad van Chirojeugd verbond Mechelen.,'t Allemanneke,^$ $ $aMechelen$ $ $bChrirojeugd. Verbond Mechelen$ $ $c[1976]-?,Mechelen,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Leidingsblad van Chirojeugd verbond Mechelen.,,Chrirojeugd. Verbond Mechelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1976]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00545nas  2200181u  4500,9917655910101480,960925q19781983be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001765591LBS01-Aleph^$ $ $a6671769^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917655910101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aBoem.,Boem.,^$ $ $aS.l.$ $ $bACV-jongeren. Gewest St. Lenaarts$ $ $c[1978]-[1983],S.l.,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aACV-jongeren. St. Lenaarts$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,ACV-jongeren. Gewest St. Lenaarts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1978]-[1983],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00677nas  2200229u  4500,9917689960101480,961008q19791984be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001768996LBS01-Aleph^$ $ $a6688789^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917689960101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aBietebauw.,Bietebauw.,^$ $ $aRoeselare$ $ $bKSA-Noordzeegouw$ $ $c1979-[1984],Roeselare,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT),^$2$ $aKSA-Noordzeegouw$ $ $4oth,,,,^$ $ $aPeriodiciteit varieert^$ $ $aTitel varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,KSA-Noordzeegouw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00528nas  2200169u  4500,9917691500101480,961008q19791984be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001769150LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917691500101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aBinnen en buiten.,Binnen en buiten.,^$ $ $aOostende$ $ $bVakantiegenoegens. Verbond Oostende-Veurne-Dismuide$ $ $c[1978]-?,Oostende,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vakantiegenoegens. Verbond Oostende-Veurne-Dismuide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1978]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00511nas  2200181u  4500,9917691760101480,961008d19789999be er|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001769176LBS01-Aleph^$ $ $a6689529^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917691760101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aJOC. Bulletin de liaison.,JOC. Bulletin de liaison.,^$ $ $aBruxelles$ $ $bJOC$ $ $c[1978]-?,Bruxelles,^$ $ $aBiweekly,Biweekly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aJOC$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,JOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1978]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00613nas  2200193u  4500,9917691860101480,961008d19799999be mr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001769186LBS01-Aleph^$ $ $a6689574^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917691860101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aSIPECA. Bulletin d'information.,SIPECA. Bulletin d'information.,^$ $ $aBruxelles$ $ $bService d'information pastorale européenne catholique$ $ $c[1979]-?,Bruxelles,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aSIPECA$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Service d'information pastorale européenne catholique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00535nas  2200181u  4500,9917705110101480,961011q19771978be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001770511LBS01-Aleph^$ $ $a6695061^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917705110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aBe-richt-je.,Be-richt-je.,^$ $ $aLeuven$ $ $bMissiehuis van Scheut$ $ $c1977-[1978],Leuven,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aMissiehuis van Scheut$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Missiehuis van Scheut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[1978],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00569nas  2200181u  4500,9917811140101480,961114q19791991be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001781114LBS01-Aleph^$ $ $a6748011^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917811140101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aNCOV. Federatie Antwerpen. Nieuwsbrief.,NCOV. Federatie Antwerpen. Nieuwsbrief.,^$ $ $aAntwerpen$ $ $bNCOV. Federatie Antwerpen$ $ $c1979-[1991],Antwerpen,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,NCOV. Federatie Antwerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
